#;Volgnr.;Koppel;Land en IDcode;Type;Vetbedekking;Kleur;Sexe;Gewicht;Correctie;UBN;Geboorte datum;Slacht datum;Huisvesting;Categorie;Afwijkingen
1;7128;3;IE 213643983033;P+;20;5;A0;113,2;0;2120263;4-3-2023;12-10-2023;G;V;
2;7129;3;IE 222306463476;P+;20;6;A0;138,8;0;2120263;19-2-2023;12-10-2023;G;V;
3;7130;3;IE 224469582489;O-;20;5;A0;130,9;0;2120263;26-2-2023;12-10-2023;G;V;
4;7131;3;IE 215103914093;O0;20;4;A0;146,3;0;2120263;7-3-2023;12-10-2023;G;V;7
5;7132;3;IE 214291492351;O-;20;5;A0;129,9;0;2120263;26-2-2023;12-10-2023;G;V;ON2,
6;7133;3;IE 222482652993;O0;20;8;A0;138,6;0,7;2120263;26-2-2023;12-10-2023;G;V;
7;7134;3;IE 226815131195;O0;20;6;A0;153,9;0;2120263;14-2-2023;12-10-2023;G;V;OKB,
8;7135;3;IE 227270290199;O-;20;6;A0;110,2;0;2120263;23-2-2023;12-10-2023;G;V;
9;7136;3;IE 215730635162;O0;20;5;A0;150,6;0;2120263;18-2-2023;12-10-2023;G;V;FLO,
10;7137;3;IE 225883452158;O+;20;4;A0;145,6;0;2120263;26-2-2023;12-10-2023;G;V;
11;7138;3;IE 216850421785;O0;20;8;A0;140,8;0;2120263;19-2-2023;12-10-2023;G;V;C,
12;7139;3;IE 217455122924;O-;20;2;A0;116,4;0;2120263;4-3-2023;12-10-2023;G;V;
13;7140;3;IE 215094032933;P+;20;6;A0;135,2;0,3;2120263;5-3-2023;12-10-2023;G;V;
14;7141;3;IE 216993571943;O+;30;5;A0;161,6;0,5;2120263;9-3-2023;12-10-2023;G;V;ON2,ST,
15;7142;3;IE 219689371310;O-;20;6;A0;122,5;0,3;2120263;19-2-2023;12-10-2023;G;V;7
16;7143;3;IE 215103944088;O-;20;4;A0;137,5;0;2120263;4-3-2023;12-10-2023;G;V;
17;7144;3;IE 224057552119;O+;30;4;A0;153,4;0;2120263;8-3-2023;12-10-2023;G;V;
18;7145;3;IE 222937447583;O0;20;5;A0;184,5;0;2120263;16-2-2023;12-10-2023;G;V;
